movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name,Combined
the fanatic,Crime Thriller,"Fred Durst (director/screenplay), Dave Bekerman (screenplay); John Travolta, Devon Sawa, Ana Golja, Jacob Grodnik, James Paxton, Jeff Chase, Luis Da Silva",John Travolta, Devon Sawa, Ana Golja,"the fanaticJohn Travolta Devon Sawa Ana GoljaFred Durst (director/screenplay), Dave Bekerman (screenplay); John Travolta, Devon Sawa, Ana Golja, Jacob Grodnik, James Paxton, Jeff Chase, Luis Da SilvaCrime Thriller"
it chapter two,Horror Fantasy,Andy Muschietti ,James McAvoy, Jessica Chastain, Bill Hader,it chapter twoJames McAvoy Jessica Chastain Bill HaderAndy Muschietti Horror Fantasy
satanic panic,Horror Comedy,Chelsea Stardust ,Hayley Griffith, Ruby Modine, Arden Myrin,satanic panicHayley Griffith Ruby Modine Arden MyrinChelsea Stardust Horror Comedy
strange but true,Thriller,Rowan Athale ,Amy Ryan, Nick Robinson, Margaret Qualley,strange but trueAmy Ryan Nick Robinson Margaret QualleyRowan Athale Thriller
the obituary of tunde johnson,Drama Thriller,Ali LeRoi ,Steven Silver, Nicola Peltz,unknown,the obituary of tunde johnsonSteven Silver Nicola PeltzunknownAli LeRoi Drama Thriller
the goldfinch,Drama,John Crowley ,Ansel Elgort, Oakes Fegley, Aneurin Barnard,the goldfinchAnsel Elgort Oakes Fegley Aneurin BarnardJohn Crowley Drama
hustlers,Drama Comedy Crime,Lorene Scafaria ,Constance Wu, Jennifer Lopez, Julia Stiles,hustlersConstance Wu Jennifer Lopez Julia StilesLorene Scafaria Drama Comedy Crime
the sound of silence,Drama,Michael Tyburski ,Rashida Jones, Peter Sarsgaard, Tony Revolori,the sound of silenceRashida Jones Peter Sarsgaard Tony RevoloriMichael Tyburski Drama
monos,Drama War,Alejandro Landes ,Julianne Nicholson, Moisés Arias,unknown,monosJulianne Nicholson Moisés AriasunknownAlejandro Landes Drama War
tall girl,Comedy Drama Romance,Nzingha Stewart ,Ava Michelle, Griffin Gluck, Luke Eisner,tall girlAva Michelle Griffin Gluck Luke EisnerNzingha Stewart Comedy Drama Romance
ad astra,Science Fiction Drama,James Gray ,Brad Pitt, Tommy Lee Jones, Ruth Negga,ad astraBrad Pitt Tommy Lee Jones Ruth NeggaJames Gray Science Fiction Drama
downton abbey,Drama Romance History,Michael Engler ,Hugh Bonneville, Jim Carter, Michelle Dockery,downton abbeyHugh Bonneville Jim Carter Michelle DockeryMichael Engler Drama Romance History
